food_id,food_name,food_name_normalized,food_type,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,zinc_mg,cholesterol_mg,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,water_g,ash_g,magnesium_mg,phosphorus_mg,source_document,source_sheet,source_page,import_status,alanine_g,arginine_g,aspartic_acid_g,cystine_g,folate_mcg,glutamic_acid_g,glycine_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,mufa_g,mufa_pufa_g,niacin_mg,pantothenic_acid_mg,phenylalanine_g,proline_g,riboflavin_mg,saturated_fat_g,serine_g,thiamin_mg,threonine_g,tryptophan_g,tyrosine_g,valine_g,vitamin_b6_mg,vitamin_e_mg,vitamin_k_mcg
food_bun_nem,Bún nem,bun nem,mon_an,920.0,21.0,21.7,160.0,4.0,1168.0,557.0,140.0,4.7,2.1,87.0,374.0,1427.0,114.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_ngan,Bún ngan,bun ngan,mon_an,521.8,18.7,20.9,64.8,,693.1,,115.5,3.2,1.1,4.1,57.6,665.7,22.3,,,16.2,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_oc,Bún ốc,bun oc,mon_an,878.4,72.9,22.8,95.4,,1994.7,,165.2,3.7,7.0,34.9,47.1,542.6,43.2,,,37.9,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_rieu_cua,Bún riêu cua,bun rieu cua,mon_an,320.6,10.7,6.6,54.6,,2173.4,,133.4,2.2,,52.4,75.6,813.8,27.9,,,26.2,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_rieu_cua_bo_gio,Bún riêu cua bò giò,bun rieu cua bo gio,mon_an,515.3,22.1,23.3,54.3,,20.5,,59.4,2.3,1.7,23.4,6.9,82.2,3.7,,,25.6,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_thang,Bún thang,bun thang,mon_an,378.2,27.9,9.4,45.6,,688.8,,121.7,1.5,0.7,22.5,50.0,320.7,15.1,,,22.4,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_thang_1,Bún thang (1),bun thang (1),mon_an,288.3,16.1,7.5,39.1,1.1,1662.0,105.2,38.0,1.9,0.8,61.0,96.0,0.0,2.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_bun_vit,Bún vịt,bun vit,mon_an,402.0,9.1,19.7,47.1,1.1,686.0,129.0,46.6,1.5,2.8,38.0,270.0,1370.0,62.8,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_ca_ngu_song,Cá ngừ sống,ca ngu song,mon_an,118.0,19.4,4.5,0.0,0.0,100.0,0.0,80.0,3.0,0.5,0.0,20.0,,0.0,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_ca_phao_muoi,Cà pháo muối,ca phao muoi,mon_an,,0.7,,1.1,0.9,406.0,,8.3,0.4,,,,22.0,,,,,,tat_ca_mon_an.xlsx,nutrition_table,1,ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
